timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759159249654,2,JDBC Request - Insert Data into Users,200,OK,Thread Group 1-1,text,true,,9,0,1,1,null,2,0,0
1759159249657,2,JDBC Request - Insert Data into Users,200,OK,Thread Group 1-1,text,true,,9,0,1,1,null,2,0,0
1759159249660,2,JDBC Request - Insert Data into Users,200,OK,Thread Group 1-1,text,true,,9,0,1,1,null,2,0,0
1759159249663,3,JDBC Request - Insert Data into Users,200,OK,Thread Group 1-1,text,true,,9,0,1,1,null,3,0,0
1759159249667,2,JDBC Request - Insert Data into Users,200,OK,Thread Group 1-1,text,true,,9,0,1,1,null,2,0,0
1759159249670,2,JDBC Request - Insert Data into Users,200,OK,Thread Group 1-1,text,true,,9,0,1,1,null,2,0,0
1759159249673,2,JDBC Request - Insert Data into Users,200,OK,Thread Group 1-1,text,true,,9,0,1,1,null,2,0,0
1759159249676,2,JDBC Request - Insert Data into Users,200,OK,Thread Group 1-1,text,true,,9,0,1,1,null,2,0,0
1759159249679,2,JDBC Request - Insert Data into Users,200,OK,Thread Group 1-1,text,true,,9,0,1,1,null,2,0,0
1759159249682,2,JDBC Request - Insert Data into Users,200,OK,Thread Group 1-1,text,true,,9,0,1,1,null,2,0,0
1759159249684,3,JDBC Request - Insert Data into Users,200,OK,Thread Group 1-1,text,true,,9,0,1,1,null,3,0,0
1759159249688,2,JDBC Request - Insert Data into Users,200,OK,Thread Group 1-1,text,true,,9,0,1,1,null,2,0,0
1759159249690,2,JDBC Request - Insert Data into Users,200,OK,Thread Group 1-1,text,true,,9,0,1,1,null,2,0,0
1759159249693,2,JDBC Request - Insert Data into Users,200,OK,Thread Group 1-1,text,true,,9,0,1,1,null,2,0,0
1759159249696,2,JDBC Request - Insert Data into Users,200,OK,Thread Group 1-1,text,true,,9,0,1,1,null,2,0,0
1759159249699,2,JDBC Request - Insert Data into Users,200,OK,Thread Group 1-1,text,true,,9,0,1,1,null,2,0,0
1759159249702,2,JDBC Request - Insert Data into Users,200,OK,Thread Group 1-1,text,true,,9,0,1,1,null,2,0,0
1759159249705,2,JDBC Request - Insert Data into Users,200,OK,Thread Group 1-1,text,true,,9,0,1,1,null,2,0,0
1759159249708,2,JDBC Request - Insert Data into Users,200,OK,Thread Group 1-1,text,true,,9,0,1,1,null,2,0,0
1759159249712,2,JDBC Request - Insert Data into Users,200,OK,Thread Group 1-1,text,true,,9,0,1,1,null,2,0,0
1759159249716,2,JDBC Request - Insert Data into Users,200,OK,Thread Group 1-1,text,true,,9,0,1,1,null,2,0,0
1759159249719,2,JDBC Request - Insert Data into Users,200,OK,Thread Group 1-1,text,true,,9,0,1,1,null,2,0,0
1759159249721,2,JDBC Request - Insert Data into Users,200,OK,Thread Group 1-1,text,true,,9,0,1,1,null,2,0,0
1759159249724,2,JDBC Request - Insert Data into Users,200,OK,Thread Group 1-1,text,true,,9,0,1,1,null,2,0,0
1759159249727,2,JDBC Request - Insert Data into Users,200,OK,Thread Group 1-1,text,true,,9,0,1,1,null,2,0,0
1759159249730,2,JDBC Request - Insert Data into Users,200,OK,Thread Group 1-1,text,true,,9,0,1,1,null,2,0,0
